  0.00000000E+00  0.94134666E-06  0.94422243E-04 -0.92455128E-05
  0.21892688E-01  0.33077525E-02 -0.38951157E-03 -0.78442404E-03
  0.43785377E-01  0.66281589E-02 -0.86884913E-03 -0.15518767E-02
  0.65678065E-01  0.99664257E-02 -0.13379890E-02 -0.23048246E-02
  0.87570753E-01  0.13308386E-01 -0.17916303E-02 -0.30379007E-02
  0.10946344E+00  0.16613861E-01 -0.22249175E-02 -0.37475766E-02
  0.13135613E+00  0.19810911E-01 -0.26335574E-02 -0.44322976E-02
  0.15324882E+00  0.22792320E-01 -0.30139034E-02 -0.50923030E-02
  0.17514151E+00  0.25414564E-01 -0.33630047E-02 -0.57291474E-02
  0.19703419E+00  0.27499355E-01 -0.36786223E-02 -0.63449764E-02
  0.21892688E+00  0.28837718E-01 -0.39592147E-02 -0.69416363E-02
  0.24081957E+00  0.29196427E-01 -0.42038993E-02 -0.75197019E-02
  0.26271226E+00  0.28326500E-01 -0.44123940E-02 -0.80775060E-02
  0.28460495E+00  0.25973362E-01 -0.45849440E-02 -0.86102356E-02
  0.30649764E+00  0.21888180E-01 -0.47222372E-02 -0.91091404E-02
  0.32839032E+00  0.15839764E-01 -0.48253073E-02 -0.95608817E-02
  0.35028301E+00  0.76263418E-02 -0.48954227E-02 -0.99470293E-02
  0.37217570E+00 -0.29136043E-02 -0.49339559E-02 -0.10243714E-01
  0.39406839E+00 -0.15892363E-01 -0.49422245E-02 -0.10421436E-01
  0.41596108E+00 -0.31366877E-01 -0.49212948E-02 -0.10445034E-01
  0.43785377E+00 -0.10572598E+00  0.33769708E+00 -0.30150671E+01
  0.45974645E+00 -0.11501680E+00  0.14076481E+00 -0.23470351E+01
  0.48163914E+00 -0.12831192E+00 -0.74159307E-02 -0.18002728E+01
  0.50353183E+00 -0.14528249E+00 -0.11816136E+00 -0.13544396E+01
  0.52542452E+00 -0.16563440E+00 -0.20009777E+00 -0.99309849E+00
  0.54731721E+00 -0.18913128E+00 -0.25984983E+00 -0.70281706E+00
  0.56920989E+00 -0.21563719E+00 -0.30253588E+00 -0.47249395E+00
  0.59110258E+00 -0.24518438E+00 -0.33212821E+00 -0.29284568E+00
  0.61299527E+00 -0.27807770E+00 -0.35171778E+00 -0.15600952E+00
  0.63488796E+00 -0.31505811E+00 -0.36371114E+00 -0.55229652E-01
  0.65678065E+00 -0.35757085E+00 -0.36997905E+00  0.15398604E-01
  0.67867334E+00 -0.40822933E+00 -0.37197112E+00  0.61148398E-01
  0.70056602E+00 -0.47166854E+00 -0.37080832E+00  0.86870043E-01
  0.72245871E+00 -0.55622030E+00 -0.36736672E+00  0.97227987E-01
  0.74435140E+00 -0.67744896E+00 -0.36237554E+00  0.97046467E-01
  0.76624409E+00 -0.86627413E+00 -0.35658926E+00  0.91962053E-01
