  0.00000000E+00 -0.58262248E+01
  0.11570114E-01 -0.58257264E+01
  0.23140229E-01 -0.58242326E+01
  0.34710343E-01 -0.58217463E+01
  0.46280457E-01 -0.58182728E+01
  0.57850572E-01 -0.58138195E+01
  0.69420686E-01 -0.58083954E+01
  0.80990800E-01 -0.58020114E+01
  0.92560915E-01 -0.57946804E+01
  0.10413103E+00 -0.57864162E+01
  0.11570114E+00 -0.57772345E+01
  0.12727126E+00 -0.57671517E+01
  0.13884137E+00 -0.57561854E+01
  0.15041149E+00 -0.57443536E+01
  0.16198160E+00 -0.57316751E+01
  0.17355172E+00 -0.57181685E+01
  0.18512183E+00 -0.57038526E+01
  0.19669194E+00 -0.56887457E+01
  0.20826206E+00 -0.56728657E+01
  0.21983217E+00 -0.56562295E+01
  0.23140229E+00 -0.56388528E+01
  0.24297240E+00 -0.56207502E+01
  0.25454252E+00 -0.56019345E+01
  0.26611263E+00 -0.55824168E+01
  0.27768274E+00 -0.55622062E+01
  0.28925286E+00 -0.55413096E+01
  0.30082297E+00 -0.55197316E+01
  0.31239309E+00 -0.54974744E+01
  0.32396320E+00 -0.54745375E+01
  0.33553332E+00 -0.54509180E+01
  0.34710343E+00 -0.54266104E+01
  0.35867354E+00 -0.54016063E+01
  0.37024366E+00 -0.53758952E+01
  0.38181377E+00 -0.53494637E+01
  0.39338389E+00 -0.53222964E+01
  0.40495400E+00 -0.52943755E+01
  0.41652412E+00 -0.52656814E+01
  0.42809423E+00 -0.52361926E+01
  0.43966435E+00 -0.52058863E+01
  0.45123446E+00 -0.51747384E+01
  0.46280457E+00 -0.51427242E+01
  0.47437469E+00 -0.51098182E+01
  0.48594480E+00 -0.50759950E+01
  0.49751492E+00 -0.50412294E+01
  0.50908503E+00 -0.50054968E+01
  0.52065515E+00 -0.49687738E+01
  0.53222526E+00 -0.49310384E+01
  0.54379537E+00 -0.48922702E+01
  0.55536549E+00 -0.48524514E+01
  0.56693560E+00 -0.48115662E+01
  0.57850572E+00 -0.47696020E+01
  0.59007583E+00 -0.47265491E+01
  0.60164595E+00 -0.46824013E+01
  0.61321606E+00 -0.46371558E+01
  0.62478617E+00 -0.45908134E+01
  0.63635629E+00 -0.45433789E+01
  0.64792640E+00 -0.44948606E+01
  0.65949652E+00 -0.44452708E+01
  0.67106663E+00 -0.43946254E+01
  0.68263675E+00 -0.43429440E+01
  0.69420686E+00 -0.42902496E+01
  0.70577698E+00 -0.42365682E+01
  0.71734709E+00 -0.41819290E+01
  0.72891720E+00 -0.41263636E+01
  0.74048732E+00 -0.40699060E+01
  0.75205743E+00 -0.40125920E+01
  0.76362755E+00 -0.39544591E+01
  0.77519766E+00 -0.38955454E+01
  0.78676778E+00 -0.38358900E+01
  0.79833789E+00 -0.37755319E+01
  0.80990800E+00 -0.37145099E+01
  0.82147812E+00 -0.36528620E+01
  0.83304823E+00 -0.35906251E+01
