 written on 15Jun2023 at 18:06:43 
   0.0000000000000000        2.7152650000000000        2.7152650000000000     
   2.7152650000000000        0.0000000000000000        2.7152650000000000     
   2.7152650000000000        2.7152650000000000        0.0000000000000000     
           4
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    2    1   -0.26010161E-03 -0.32972626E-07 
    3    1   -0.26011023E-03  0.16894404E-07 
    4    1   -0.26010949E-03 -0.93977632E-08 
    1    2   -0.26010164E-03  0.32972625E-07 
    2    2    0.78243912E-03  0.30417571E-15 
    3    2   -0.26010148E-03  0.42455220E-07 
    4    2   -0.26010526E-03  0.15918979E-07 
    1    3   -0.26011023E-03 -0.16894405E-07 
    2    3   -0.26010146E-03 -0.42455219E-07 
    3    3    0.78244023E-03  0.66468077E-15 
    4    3   -0.26010758E-03 -0.29503795E-07 
    1    4   -0.26010954E-03  0.93977624E-08 
    2    4   -0.26010523E-03 -0.15918979E-07 
    3    4   -0.26010763E-03  0.29503794E-07 
    4    4    0.78243723E-03 -0.38247414E-15 

   -3   -2    2
    1    1    0.33072351E-03 -0.81808580E-08 
    2    1   -0.18866961E-03 -0.53959454E-08 
    3    1   -0.69377831E-04 -0.91316179E-09 
    4    1    0.58220436E-04  0.86477827E-08 
    1    2   -0.69383569E-04 -0.54945369E-08 
    2    2    0.57169319E-03  0.27865494E-08 
    3    2   -0.50237032E-03  0.23081511E-08 
    4    2   -0.69387037E-04  0.39657060E-08 
    1    3   -0.18868369E-03 -0.56714811E-08 
    2    3   -0.26010109E-03 -0.34922903E-07 
    3    3    0.57169329E-03  0.33925399E-08 
    4    3   -0.18867026E-03  0.41906913E-09 
    1    4    0.58218815E-04 -0.28179795E-08 
    2    4   -0.18868967E-03 -0.11342575E-08 
    3    4   -0.69379585E-04  0.51147311E-09 
    4    4    0.33072455E-03  0.20003141E-08 

   -3   -2    3
    1    1    0.33073017E-03 -0.16973311E-08 
    2    1    0.58225901E-04  0.36730748E-08 
    3    1   -0.69387404E-04  0.80711899E-08 
    4    1   -0.18867984E-03  0.31458666E-08 
    1    2    0.58225043E-04 -0.56096024E-08 
    2    2    0.33072196E-03  0.22675967E-08 
    3    2   -0.69383826E-04 -0.90417581E-08 
    4    2   -0.18866494E-03 -0.13124061E-08 
    1    3   -0.18868469E-03  0.29580052E-08 
    2    3   -0.18867178E-03 -0.20803341E-08 
    3    3    0.57169226E-03 -0.83649105E-09 
    4    3   -0.26010661E-03 -0.22344682E-07 
    1    4   -0.69379046E-04  0.13039306E-08 
    2    4   -0.69386638E-04 -0.93491680E-08 
    3    4   -0.50237182E-03  0.17980972E-08 
    4    4    0.57168897E-03  0.26495902E-09 

   -3   -1    1
    1    1   -0.12594584E-02  0.51011059E-08 
    2    1    0.27674701E-03 -0.39039049E-09 
    3    1    0.42918599E-03  0.17310522E-08 
    4    1    0.58081424E-03  0.17222738E-08 
    1    2    0.42918004E-03  0.62027991E-08 
    2    2   -0.21421721E-03 -0.47561832E-09 
    3    2    0.17141201E-03  0.11351079E-08 
    4    2    0.42919285E-03  0.29684560E-08 
    1    3    0.27674305E-03 -0.44769938E-08 
    2    3   -0.50237300E-03 -0.38922053E-08 
    3    3   -0.21421708E-03 -0.28359832E-08 
    4    3    0.27675043E-03 -0.34929667E-08 
    1    4    0.58080206E-03  0.15648661E-08 
    2    4    0.27674896E-03  0.40547970E-08 
    3    4    0.42918334E-03 -0.28504934E-08 
    4    4   -0.12594550E-02 -0.17902453E-08 

   -3   -1    2
    1    1   -0.97200240E-03 -0.40058643E-08 
    2    1    0.46710716E-03 -0.57380281E-08 
    3    1   -0.13726400E-03  0.17536007E-08 
    4    1    0.46711753E-03  0.77169958E-08 
    1    2    0.12706095E-02 -0.27384581E-08 
    2    2   -0.61860607E-03  0.40436328E-08 
    3    2   -0.49358038E-03  0.71224239E-08 
    4    2    0.27674254E-03  0.47431786E-08 
    1    3   -0.95165130E-03 -0.45045110E-08 
    2    3   -0.69379292E-04  0.54718954E-08 
    3    3    0.78961884E-03 -0.74833938E-09 
    4    3   -0.69387081E-04 -0.30306410E-09 
    1    4    0.12706061E-02 -0.81081543E-08 
    2    4    0.27675119E-03 -0.30437883E-08 
    3    4   -0.49357997E-03  0.14584902E-08 
    4    4   -0.61860767E-03  0.71011428E-09 

   -3   -1    3
    1    1   -0.12594581E-02 -0.38908487E-08 
    2    1    0.58080254E-03  0.55156612E-08 
    3    1    0.42918544E-03 -0.60279446E-10 
    4    1    0.27674895E-03 -0.55012775E-08 
    1    2    0.58080698E-03  0.60336328E-08 
    2    2   -0.12594550E-02  0.18213334E-08 
    3    2    0.42918582E-03 -0.25238676E-08 
    4    2    0.27674400E-03 -0.87889935E-09 
    1    3    0.27674573E-03 -0.25842051E-08 
    2    3    0.27675504E-03 -0.19177840E-08 
    3    3   -0.21421378E-03 -0.48972673E-08 
    4    3   -0.50237241E-03  0.51877852E-08 
    1    4    0.42918504E-03  0.38927073E-08 
    2    4    0.42918872E-03 -0.27985489E-08 
    3    4    0.17141098E-03 -0.50872621E-08 
    4    4   -0.21422015E-03  0.69677540E-08 

   -3    0    0
    1    1    0.26292687E-01 -0.14950000E-15 
    2    1    0.72612127E-03  0.13995883E-08 
    3    1    0.72611651E-03  0.87116806E-09 
    4    1   -0.33624191E-01  0.61082404E-08 
    1    2    0.72612887E-03 -0.13995866E-08 
    2    2   -0.10707479E-02  0.19250771E-14 
    3    2    0.17141289E-03  0.91122209E-08 
    4    2    0.72612161E-03 -0.42763975E-09 
    1    3    0.72612410E-03 -0.87116936E-09 
    2    3    0.17141289E-03 -0.91122230E-08 
    3    3   -0.10707561E-02 -0.25625416E-16 
    4    3    0.72613154E-03 -0.44542723E-08 
    1    4   -0.33624110E-01 -0.61082406E-08 
    2    4    0.72612920E-03  0.42763990E-09 
    3    4    0.72613913E-03  0.44542703E-08 
    4    4    0.26292684E-01 -0.73456717E-15 

   -3    0    1
    1    1    0.24899713E-02  0.55609548E-08 
    2    1   -0.43089944E-03 -0.78854625E-08 
    3    1   -0.14339130E-03 -0.37605018E-08 
    4    1   -0.62539169E-03  0.35188362E-08 
    1    2    0.52758162E-03 -0.17676245E-08 
    2    2   -0.97632192E-03 -0.90823270E-09 
    3    2   -0.38737735E-03  0.23640534E-08 
    4    2    0.72613246E-03  0.24029563E-09 
    1    3   -0.14219323E-02  0.17321161E-08 
    2    3   -0.49358379E-03  0.95471137E-09 
    3    3    0.78162539E-03 -0.33716392E-08 
    4    3    0.42918672E-03  0.64698625E-10 
    1    4   -0.12177674E-02  0.49516015E-08 
    2    4    0.26461113E-02 -0.31163906E-08 
    3    4   -0.72419623E-03  0.64161281E-08 
    4    4   -0.16459966E-02 -0.12798158E-08 

   -3    0    2
    1    1    0.24899922E-02 -0.22036596E-08 
    2    1   -0.62539266E-03 -0.48349429E-09 
    3    1   -0.14339989E-03  0.29628644E-08 
    4    1   -0.43090624E-03  0.36014867E-08 
    1    2   -0.12177801E-02 -0.11864200E-07 
    2    2   -0.16459985E-02  0.19740051E-09 
    3    2   -0.72420072E-03 -0.22927901E-08 
    4    2    0.26461254E-02  0.28709773E-08 
    1    3   -0.14219330E-02 -0.85265602E-08 
    2    3    0.42918285E-03 -0.15845757E-09 
    3    3    0.78161586E-03  0.17271873E-08 
    4    3   -0.49358413E-03  0.11808748E-08 
    1    4    0.52755232E-03  0.38878026E-08 
    2    4    0.72613027E-03  0.30071752E-08 
    3    4   -0.38736541E-03  0.50158887E-08 
    4    4   -0.97631868E-03  0.28033114E-09 

   -3    0    3
    1    1    0.26292677E-01 -0.42965825E-16 
    2    1   -0.33624138E-01  0.35931563E-08 
    3    1    0.72612841E-03 -0.34798808E-09 
    4    1    0.72613519E-03 -0.28385463E-08 
    1    2   -0.33624138E-01 -0.35931567E-08 
    2    2    0.26292677E-01  0.69397981E-15 
    3    2    0.72612413E-03  0.53732574E-10 
    4    2    0.72612297E-03  0.98211191E-09 
    1    3    0.72612850E-03  0.34798847E-09 
    2    3    0.72612404E-03 -0.53733270E-10 
    3    3   -0.10707506E-02 -0.50781449E-15 
    4    3    0.17141941E-03  0.17137108E-08 
    1    4    0.72613537E-03  0.28385460E-08 
    2    4    0.72612278E-03 -0.98211194E-09 
    3    4    0.17141941E-03 -0.17137103E-08 
    4    4   -0.10707511E-02 -0.15695907E-15 

   -3    1   -1
    1    1   -0.12594584E-02 -0.51011056E-08 
    2    1    0.42918269E-03 -0.62028003E-08 
    3    1    0.27674161E-03  0.44769928E-08 
    4    1    0.58080327E-03 -0.15648668E-08 
    1    2    0.27674846E-03  0.39039107E-09 
    2    2   -0.21421721E-03  0.47562031E-09 
    3    2   -0.50237300E-03  0.38922056E-08 
    4    2    0.27674751E-03 -0.40547976E-08 
    1    3    0.42918333E-03 -0.17310533E-08 
    2    3    0.17141201E-03 -0.11351060E-08 
    3    3   -0.21421708E-03  0.28359825E-08 
    4    3    0.42918599E-03  0.28504903E-08 
    1    4    0.58081303E-03 -0.17222729E-08 
    2    4    0.42919019E-03 -0.29684537E-08 
    3    4    0.27675188E-03  0.34929661E-08 
    4    4   -0.12594550E-02  0.17902443E-08 

   -3    1    0
    1    1    0.24899725E-02 -0.43681554E-08 
    2    1   -0.14339688E-03  0.66331983E-09 
    3    1   -0.43090126E-03 -0.13551561E-08 
    4    1   -0.62539295E-03  0.43708555E-08 
    1    2   -0.14219251E-02  0.21316825E-08 
    2    2    0.78162129E-03  0.83550926E-09 
    3    2   -0.49358123E-03  0.94098756E-09 
    4    2    0.42918359E-03 -0.94472558E-08 
    1    3    0.52758881E-03  0.70777380E-08 
    2    3   -0.38736825E-03 -0.14795492E-09 
    3    3   -0.97632311E-03  0.15669370E-08 
    4    3    0.72612567E-03 -0.25611951E-08 
    1    4   -0.12177817E-02  0.50975165E-08 
    2    4   -0.72421259E-03  0.25924297E-11 
    3    4    0.26461270E-02  0.10895261E-08 
    4    4   -0.16459925E-02  0.19649077E-08 

   -3    1    1
    1    1    0.17592600E-02 -0.21934082E-08 
    2    1   -0.53218622E-03 -0.25235786E-08 
    3    1   -0.53218992E-03  0.19637861E-08 
    4    1   -0.53219182E-03  0.50265151E-08 
    1    2   -0.46120901E-03 -0.57636489E-08 
    2    2    0.21207510E-02  0.14204256E-08 
    3    2   -0.72419795E-03  0.29662844E-08 
