G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
H                             101         2.1892688251      0.5000000000      0.5000000000     -0.5000000000
N                             172         3.7373156571      0.5000000000      0.0000000000     -0.5000000000
G                             243         5.2853624892      0.0000000000      0.0000000000      0.0000000000
P                             330         7.1813249074      0.7500000000      0.2500000000     -0.2500000000
H                             417         9.0772873256      0.5000000000      0.5000000000     -0.5000000000
P                             418         9.0772873256      0.7500000000      0.2500000000     -0.2500000000
N                             468        10.1719217381      0.5000000000      0.0000000000     -0.5000000000
